Timestamp,Sensor,X,Y,Z
73950.042932576,Accelerometer,-0.23,-0.08,9.82
73950.236484451,Accelerometer,-0.23,-0.08,9.82
73950.430035284,Accelerometer,-0.23,-0.08,9.82
73950.623585753,Accelerometer,-0.23,-0.08,9.82
73950.817129294,Accelerometer,-0.23,-0.08,9.82
73951.010679346,Accelerometer,-0.23,-0.07,9.82
73951.204228721,Accelerometer,-0.23,-0.07,9.82
73951.397766065,Accelerometer,-0.23,-0.07,9.82
73951.591295128,Accelerometer,-0.23,-0.07,9.82
73951.78484643,Accelerometer,-0.23,-0.07,9.82
73951.978398513,Accelerometer,-0.24,-0.07,9.82
73952.171949346,Accelerometer,-0.22,-0.07,9.82
73952.365504294,Accelerometer,-0.23,-0.08,9.82
73952.559061326,Accelerometer,-0.23,-0.07,9.82
73952.752623774,Accelerometer,-0.23,-0.08,9.82
73952.946173721,Accelerometer,-0.23,-0.07,9.82
73953.139712836,Accelerometer,-0.23,-0.07,9.82
73953.333270128,Accelerometer,-0.23,-0.07,9.82
73953.526833826,Accelerometer,-0.22,-0.07,9.82
73953.720397107,Accelerometer,-0.23,-0.07,9.82
73953.913963826,Accelerometer,-0.23,-0.07,9.82
73954.107531899,Accelerometer,-0.23,-0.07,9.82
73954.301100701,Accelerometer,-0.23,-0.07,9.82
73954.494669138,Accelerometer,-0.23,-0.07,9.82
73954.688238409,Accelerometer,-0.23,-0.07,9.82
73954.881805232,Accelerometer,-0.23,-0.07,9.82
73955.075371482,Accelerometer,-0.23,-0.07,9.82
73955.268934242,Accelerometer,-0.23,-0.07,9.82
73955.462489115,Accelerometer,-0.23,-0.07,9.82
73955.656055573,Accelerometer,-0.23,-0.07,9.82
73955.849617813,Accelerometer,-0.23,-0.07,9.82
73956.043185625,Accelerometer,-0.23,-0.08,9.82
73956.236760313,Accelerometer,-0.22,-0.07,9.82
73956.62391099,Accelerometer,-0.23,-0.07,9.82
73956.817482344,Accelerometer,-0.23,-0.08,9.82
73957.011048907,Accelerometer,-0.23,-0.07,9.79
73957.204614896,Accelerometer,-0.21,-0.07,9.85
73957.398170938,Accelerometer,-0.22,-0.07,9.82
73957.591728021,Accelerometer,-0.21,-0.07,9.82
73957.785304271,Accelerometer,-0.22,-0.08,9.82
73957.978875469,Accelerometer,-0.23,-0.07,9.82
73958.172447605,Accelerometer,-0.23,-0.07,9.82
73958.366017396,Accelerometer,-0.22,-0.07,9.82
73958.559572865,Accelerometer,-0.21,-0.07,9.82
73958.753144792,Accelerometer,-0.21,-0.07,9.82
73958.946715573,Accelerometer,-0.2,-0.07,9.82
73959.140289115,Accelerometer,-0.21,-0.07,9.82
73959.333854532,Accelerometer,-0.22,-0.07,9.82
73959.527410261,Accelerometer,-0.23,-0.08,9.82
73959.720983021,Accelerometer,-0.22,-0.07,9.82
73959.914545678,Accelerometer,-0.22,-0.07,9.82
73960.10810823,Accelerometer,-0.23,-0.07,9.82
73960.301675105,Accelerometer,-0.23,-0.07,9.82
73960.495249948,Accelerometer,-0.23,-0.07,9.82
73960.688817396,Accelerometer,-0.36,-0.12,9.85
73960.882378125,Accelerometer,-1.07,-0.13,10.28
73961.075947553,Accelerometer,-1.42,0.97,9.41
73961.269510053,Accelerometer,-2.9,1.7,9.42
73961.463067865,Accelerometer,-2.9,0.72,9.45
73961.656621355,Accelerometer,-3.81,1.43,9.07
73961.850186928,Accelerometer,-5.22,1.42,9.59
73962.0437375,Accelerometer,-6.9,1.49,5.33
73962.237284584,Accelerometer,-7.46,3.26,5.95
73962.430846198,Accelerometer,-6.66,5.48,4.17
73962.624402605,Accelerometer,-6.87,6.0,2.04
73962.817961928,Accelerometer,-6.03,7.02,2.65
73963.011524011,Accelerometer,-5.43,7.82,1.78
73963.205086823,Accelerometer,-5.87,7.37,2.25
73963.480098646,Accelerometer,-4.93,7.46,2.32
73963.672641042,Accelerometer,-5.07,7.54,3.55
73963.865183542,Accelerometer,-5.25,7.04,4.6
73964.057726146,Accelerometer,-4.71,7.25,4.32
73964.25026875,Accelerometer,-4.72,7.26,4.28
73964.635354063,Accelerometer,-4.85,7.06,4.54
73964.827896771,Accelerometer,-4.25,7.32,4.92
73965.02043948,Accelerometer,-3.55,7.93,4.36
73965.212982188,Accelerometer,-4.65,7.66,4.31
